authors,pub.year,article.title,journal.name,DOI,article.PDF.URL,PDF.views,PDF.downloads,PDF.citations,article.HTML.URL,HTML.views,article.preprint.URL,preprint.views,preprint.downloads,metrics.date,prereg.type,prereg.URL,open.mat.URL,open.data.URL,open.code.URL,rs.type,disclosure.date,article.type,rep.num,original.study,target.effects,commentaries.URLs,abstract.text,keywords,author.contributions,competing.interests,funding.sources,peer.review.editor,peer.reviewers,peer.reviews.URL
"GJO Fletcher, JA Simpson, L Campbell, & NC Overall",2015,"Pair-Bonding, Romantic Love, and Evolution: The Curious Case of Homo sapiens",Perspectives on Psychological Science,,,,,108,,,,,,"January 19, 2019",,,,,,,,conceptual,,,,,,,,None to declare.,,,,
EP LeBel & L Campbell,2013,Heightened sensitivity to temperature cues in individuals with high anxious attachment: Real or elusive phenomenon?,Psychological Science,10.1177/0956797613486983,"http://etiennelebel.com/documents/l&c(2013,psci).pdf",,,46,,,,,,"December 20, 2018",preregplus,https://osf.io/kizyn/,https://osf.io/qsnvb/,https://osf.io/qsnvb/,https://osf.io/qsnvb/,basic4.retro,"November 1, 2013",replication,2,Vess (2012) Study 1,anxious attachment warm food effect,,,,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel); SSHRC grant (Canada: L Campbell)",E Eich,Anonymous reviewer 1,
"L Campbell, JA Simpson, JG Boldry, & H Rubin",2010,"Trust, variability in relationship evaluations, and relationship processes.",Journal of personality and social psychology,,,,,126,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
B Butzer & L Campbell,2008,"Adult attachment, sexual satisfaction, and relationship satisfaction: A study of married couples",Personal Relationships,,,,,425,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"L Campbell, JA Simpson, J Boldry, & DA Kashy",2005,Perceptions of conflict and support in romantic relationships: the role of attachment anxiety.,Journal of personality and social psychology,,,,,710,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"JA Simpson, WS Rholes, L Campbell, S Tran, & CL Wilson",2003,"Adult attachment, the transition to parenthood, and depressive symptoms.",Journal of Personality and Social Psychology,,,,,288,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
L Campbell & DA Kashy,2002,"Estimating actor, partner, and interaction effects for dyadic data using PROC MIXED and HLM: A user–friendly guide",Personal Relationships,,,,,669,,,,,,"January 19, 2019",,,,,,,,conceptual,,,,,,,,None to declare.,,,,
"WS Rholes, JA Simpson, L Campbell, & J Grich",2001,Adult attachment and the transition to parenthood.,Journal of Personality and Social Psychology,,,,,263,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"L Campbell, JA Simpson, DA Kashy, & GJO Fletcher",2001,"Ideal standards, the self, and flexibility of ideals in close relationships",Personality and Social Psychology Bulletin,,,,,205,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
"L Campbell, JA Simpson, DA Kashy, & WS Rholes",2001,"Attachment orientations, dependence, and behavior in a stressful situation: An application of the Actor-Partner Interdependence Model",Journal of Social and Personal Relationships,,,,,152,,,,,,"January 19, 2019",,,,,,,,original,,,,,,,,None to declare.,,,,
