authors,pub.year,article.title,journal.name,DOI,article.PDF.URL,PDF.views,PDF.downloads,PDF.citations,article.HTML.URL,HTML.views,article.preprint.URL,preprint.views,preprint.downloads,metrics.date,prereg.type,prereg.URL,open.mat.URL,open.data.URL,open.code.URL,rs.type,disclosure.date,article.type,rep.num,original.study,target.effects,commentaries.URLs,abstract.text,keywords,author.contributions,competing.interests,funding.sources,peer.review.editor,peer.reviewers,peer.reviews.URL
EP LeBel & CJ Wilbur,2014,Big secrets do not necessarily cause hills to appear steeper,Psychonomic Bulletin & Review,10.3758/s13423-013-0549-2,"http://etiennelebel.com/documents/l&w(2014,pbr).pdf",,,19,,,,,,"December 20, 2018",preregplus,https://osf.io/dz2fx/,https://osf.io/w6kv5/files/,https://osf.io/w6kv5/files/,https://osf.io/w6kv5/files/,basic4.at.subm,,replication,2,Slepian et al. (2012) Study 1,physical burdensomeness of secrets effect,,"Slepian, Masicampo, Toosi, and Ambady (2012, Study 1, Journal of Experimental Psychology: General, 141, 619–624) found that individuals recalling and writing about a big, meaningful secret judged a pictured hill as steeper than did those who recalled and wrote about a small, inconsequential secret (with estimates unrelated to physical effort unaffected). From an embodied cognition perspective, this result was interpreted as suggesting that important secrets weigh people down. Answering to mounting calls for the crucial need of independent direct replications of published findings to ensure the self-correcting nature of our science, we sought to corroborate Slepian et al.’s finding in two extremely highpowered, preregistered studies that were very faithful to all procedural and methodological details of the original study (i.e., same cover story, study title, manipulation, measures, item order, scale anchors, task instructions, sampling frame, population, and statistical analyses). In both samples, we were unsuccessful in replicating the target finding. Although Slepian et al. reported three other studies supporting the secret burdensomeness phenomenon, we advise that these three other findings need to be independently corroborated before the general phenomenon informs theory or health interventions.",embodied cognition; secrecy; concealment of secrets; independent direct replication,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel)",C Moore,A Glenberg; Anonymous reviewer 2; Anonymous reviewer 3,
EP LeBel & L Campbell,2013,Heightened sensitivity to temperature cues in individuals with high anxious attachment: Real or elusive phenomenon?,Psychological Science,10.1177/0956797613486983,"http://etiennelebel.com/documents/l&c(2013,psci).pdf",,,46,,,,,,"December 20, 2018",preregplus,https://osf.io/kizyn/,https://osf.io/qsnvb/,https://osf.io/qsnvb/,https://osf.io/qsnvb/,basic4.retro,"November 1, 2013",replication,2,Vess (2012) Study 1,anxious attachment warm food effect,,,,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel); SSHRC grant (Canada: L Campbell)",E Eich,Anonymous reviewer 1,
"EP LeBel, D Borsboom, R Giner-Sorolla, F Hasselman, ... , & CT Smith",2013,PsychDisclosure.org: Grassroots support for reforming reporting standards in psychology,Perspectives on Psychological Science,10.1177/1745691613491437,"https://etiennelebel.com/documents/lbghprs(2013,pps).pdf",,,77,,,,,,"December 20, 2018",,,,,,,,conceptual,,,,,"There is currently an unprecedented level of doubt regarding the reliability of research findings in psychology. Many recommendations have been made to improve the current situation. In this article, we report results from PsychDisclosure.org, a novel open-science initiative that provides a platform for authors of recently published articles to disclose four methodological design specification details that are not required to be disclosed under current reporting standards but that are critical for accurate interpretation and evaluation of reported findings. Grassroots sentiment -- as manifested in the positive and appreciative response to our initiative -- indicates that psychologists want to see changes made at the systemic level regarding disclosure of such methodological details. Almost 50% of contacted researchers disclosed the requested design specifications for the four methodological categories (excluded subjects, nonreported conditions and measures, and sample size determination). Disclosed information provided by participating authors also revealed several instances of questionable editorial practices, which need to be thoroughly examined and redressed. On the basis of these results, we argue that the time is now for mandatory methods disclosure statements for all psychology journals, which would be an important step forward in improving the reliability of findings in psychology.",reporting standards; disclosure; methodological design specifications; methodology,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel)",B Spellman,Anonymous reviewer 1,
EP LeBel & L Campbell ,2013,The interactive role of implicit and explicit partner evaluations on ongoing affective and behavioral romantic realities,Social Psychological and Personality Science,10.1177/1948550612448196,"https://etiennelebel.com/documents/l&c(2013,spps).pdf",,,10,,,,,,"December 20, 2018",,,,,,basic7,"February 15, 2018",original,,,,,"Past research on close relationships has increasingly focused on the assessment of implicit constructs to shed new light on relationship processes. However, virtually nothing is known about the role of such constructs in understanding ongoing affective and behavioral romantic realities and how implicit and explicit relationship constructs interact in the context of daily relationship outcomes. Using a 21-day diary approach, the present research examined the unique and interactive role of implicit partner evaluations and explicit partner perceptions on relationship outcomes (daily relationship quality and positive relationship behaviors enacted toward partner). Results showed that more positive implicit partner evaluations uniquely predicted more positive relationship outcomes during the 21-day diary period, but that this was especially pronounced in individuals who did not explicitly perceive their partner’s attributes in an overly positive manner. Implications for the close relationship literature are discussed.",implicit partner evaluations; explicit partner perceptions; relationship satisfaction,,None to declare.,"Social Science and Humanities Research Council (SSHRC grant # 756-2011-0090, Canada: EP LeBel), SSHRC grant (Canada: L Campbell)",C Finkenauer,Anonymous reviewer 1,
"AA Aarts, ... , EP LeBel, ... , & BA Nosek (2012)",2012,"An open, large-scale, collaborative effort to estimate the [replicability] of psychological science",Perspectives on Psychological Science,10.1177/1745691612462588,"https://etiennelebel.com/documents/osc(2012,pps).pdf",,,345,,,,,,"December 20, 2018",,,,,,,,conceptual,,,,,"[Replicability] is a defining feature of science. However, because of strong incentives for innovation and weak incentives for confirmation, direct replication is rarely practiced or published. The [Replicability] Project is an open, large-scale, collaborative effort to systematically examine the rate and predictors of [replicability] in psychological science. So far, 72 volunteer researchers from 41 institutions have organized to openly and transparently replicate studies published in three prominent psychological journals in 2008. Multiple methods will be used to evaluate the findings, calculate an empirical rate of replication, and investigate factors that predict [replicability]. Whatever the result, a better understanding of [replicability] will ultimately improve confidence in scientific methodology and findings.",methodology; replication; reproducibility; psychological science; open,,None to declare.,None to declare.,,,
SV Paunonen & EP LeBel,2012,Socially desirable responding and its elusive effects on the validity of personality assessments,Journal of Personality and Social Psychology,10.1037/a0028165,"https://etiennelebel.com/documents/p&l(2012,jpsp).pdf",,,80,,,,,,"December 20, 2018",,,,,https://osf.io/g8k8g/files/,,,conceptual,,,,,"Past studies of socially desirable self-reports on the items of personality measures have found inconsistent effects of the response bias on the measures’ predictive validities, with some studies reporting small effects and other studies reporting large effects. Using Monte Carlo methods, we evaluated various models of socially desirable responding by systematically adding predetermined amounts of the bias to the simulated personality trait scores of hypothetical test respondents before computing test–criterion validity correlations. Our study generally supported previous findings that have reported relatively minor decrements in criterion prediction, even with personality scores that were massively infused with desirability bias. Furthermore, the response bias failed to reveal itself as a statistical moderator of test validity or as a suppressor of validity. Large differences between some respondents’ obtained test scores and their true trait scores, however, meant that the personality measure’s construct validity would be severely compromised and, more specifically, that estimates of those individuals’ criterion performance would be grossly in error. Our discussion focuses on reasons for the discrepant results reported in the literature pertaining to the effect of socially desirable responding on criterion validity. More important, we explain why the lack of effects of desirability bias on the usual indicators of validity, moderation, and suppression should not be surprising.",social desirability; personality assessment; response bias; test validity; Monte Carlo simulation,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC grant # 410-2010-2586: SV Paunonen), SSHRC (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel)",L King,"Anonymous reviewer 1, Anonymous reviewer 2",
EP LeBel & KR Peters,2011,Fearing the future of empirical psychology: Bem's (2011) evidence of psi as a case study of deficiencies in modal research practice,Review of General Psychology,10.1037/a0025172,"https://etiennelebel.com/documents/l&p(2011,pspb).pdf",,,140,,,,,,"December 20, 2018",,,,,,,,conceptual,,,,,"In this methodological commentary, we use Bem’s (2011) recent article reporting experimental evidence for psi as a case study for discussing important deficiencies in modal research practice in empirical psychology. We focus on (a) overemphasis on conceptual rather than close replication, (b) insufficient attention to verifying the soundness of measurement and experimental procedures, and (c) flawed implementation of null hypothesis significance testing. We argue that these deficiencies contribute to weak method-relevant beliefs that, in conjunction with overly strong theory-relevant beliefs, lead to a systemic and pernicious bias in the interpretation of data that favors a researcher’s theory. Ultimately, this interpretation bias increases the risk of drawing incorrect conclusions about human psychology. Our analysis points to concrete recommendations for improving research practice in empirical psychology. We recommend (a) a stronger emphasis on close replication, (b) routinely verifying the integrity of measurement instruments and experimental procedures, and (c) using stronger, more diagnostic forms of null hypothesis testing.",psi; close replication; NHST; file drawer problem; modal research practice,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel)",D Candland,Anonymous reviewer 1,
EP LeBel & SV Paunonen,2011,Sexy but often unreliable: Impact of unreliability on the replicability of experimental findings involving implicit measures,Personality and Social Psychology Bulletin,10.1177/0146167211400619,"https://etiennelebel.com/documents/l&p(2011,pspb).pdf",,,95,,,,,,"December 20, 2018",,,,,http://figshare.com/articles/SPSS_syntax_for_LeBel_Paunonen_2011_PSPB_/953179,,,conceptual,,,,,"Implicit measures have contributed to important insights in almost every area of psychology. However, various issues and challenges remain concerning their use, one of which is their considerable variation in reliability, with many implicit measures having questionable reliability. The goal of the present investigation was to examine an overlooked consequence of this liability with respect to replication, when such implicit measures are used as dependent variables in experimental studies. Using a Monte Carlo simulation, the authors demonstrate that a higher level of unreliability in such dependent variables is associated with substantially lower levels of replicability. The results imply that this overlooked consequence can have farreaching repercussions for the development of a cumulative science. The authors recommend the routine assessment and reporting of the reliability of implicit measures and also urge the improvement of implicit measures with low reliability.",implicit measures; replicability; replication; reliability; measurement error ,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel), SSHRC grant (Canada, grant # 410-2010-2586: SV Paunonen)",DA Stapel,"Anonymous reviewer 1, Anonymous reviewer 2",
EP LeBel,2010,Attitude accessibility as a moderator of implicit and explicit self-esteem correspondence,Self and Identity,10.1080/15298860902979166,https://etiennelebel.com/documents/l2010sai.pdf,,,18,,,,,,"December 20, 2018",,,http://figshare.com/articles/LeBel_2010_S_I_Data_and_syntax_/953183,http://figshare.com/articles/LeBel_2010_S_I_Data_and_syntax_/953183,http://figshare.com/articles/LeBel_2010_S_I_Data_and_syntax_/953183,basic7,"February 15, 2018",original,,,,,"A key question in the self-esteem literature involves the conditions under which implicit and explicit self-esteem correspond. The current investigation adds to this literature by using a novel strategy capitalizing on natural variation in self-report response latencies to shed further light on the conditions of implicit and explicit selfesteem consistency. The current study demonstrated that implicit and explicit selfesteem corresponded for highly accessible self-attitudes (as indexed by response latencies to the Rosenberg Self-Esteem Scale items, RSES; Rosenberg, 1965) whereas implicit and explicit self-esteem were virtually unrelated for less accessible self-attitudes. This effect was found using both the Name Letter Task (NLT; Nuttin, 1985) and the Self-Esteem Implicit Association Test (SE-IAT; Greenwald & Farnham, 2000) as measures of implicit self-esteem.",explicit self-esteem; implicit–explicit correspondence; implicit self-esteem; Name Letter Task; self-esteem Implicit Association Test,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel)",J Bosson,"Anonymous reviewer 1, Anonymous reviewer 2",
EP LeBel & B Gawronski,2009,How to find what's in a name: Scrutinizing the optimality of five scoring algorithms for the name-letter task,European Journal of Personality,10.1002/per.705,"https://etiennelebel.com/documents/l&g(2009,ejp).pdf",,,94,,,,,,"December 20, 2018",,,,http://figshare.com/articles/LeBel_Gawronski_2009_EJP_/953189,http://figshare.com/articles/LeBel_Gawronski_2009_EJP_/953189,,,reanalysis,,,,,"Although the name-letter task (NLT) has become an increasingly popular technique to measure implicit self-esteem (ISE), researchers have relied on different algorithms to compute NLT scores and the psychometric properties of these differently computed scores have never been thoroughly investigated. Based on 18 independent samples, including 2690 participants, the current research examined the optimality of five scoring algorithms based on the following criteria: reliability; variability in reliability estimates across samples; types of systematic error variance controlled for; systematic production of outliers and shape of the distribution of scores. Overall, an ipsatized version of the original algorithm exhibited the most optimal psychometric properties, which is recommended for future research using the NLT.",name-letter task; initial preference task; implicit self-esteem; reliability; validity,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel); Canada Research Chairs Program Grant (Canada, grant # 202555: B Gawronski); SSHRC (grant # 410-2008-2247: B Gawronski)",M Perugini,Anonymous reviewer 1,
EP LeBel & L Campbell ,2009,"Implicit partner affect, relationship satisfaction, and the prediction of romantic breakup",Journal of Experimental Social Psychology,10.1016/j.jesp.2009.07.003,"https://etiennelebel.com/documents/l&c(2009,jesp).pdf",,,50,,,,,,"December 20, 2018",,,,,,,,original,,,,,"The current research investigated the role of spontaneous partner feelings (implicit partner affect) in the dynamics of relationship satisfaction, commitment, and romantic dissolution. Participants completed a variant of the name-letter task as a measure of implicit partner affect, and self-report measures of relationship satisfaction and commitment. Approximately 4 months later, participants were contacted to assess their current relationship status. Overall, participants showed a biased preference for their partner’s initials (after adjusting for proper baselines), indicating the presence of positive implicit partner affect. Participants with more positive implicit partner affect were more satisfied with, but not more committed to, their relationship. Additionally, implicit partner affect exerted a significant indirect effect on relationship stability. These effects were independent of relationship length, age, and gender. Implications for the role of automatic affective processes in relationship processes and the utility of indirect measures for shedding light on relationship dynamics are discussed.",implicit partner evaluation; implicit measures; name-letter effect; relationship satisfaction; relationship stability,,None to declare.,"Social Science and Humanities Research Council (Canada, SSHRC doctoral fellowship # 767-2007-1425: EP LeBel), SSHRC grant (Canada: L Campbell)",J Cooper,Anonymous reviewer 1,
